"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"celkove_hodnotenie";"maturity";"testovanie9";"matematika";"vyucovaci_jazyk";"cudzie_jazyky";"mimoriadne_vysledky";"nezamestnanost_absolventov";"vysledky_inspekcie";"ucasti_na_sutaziach";"prijimanie_na_VS";"pedagogicky_zbor";"financne_zdroje"
"1840";"ilinskı";"Martin";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Špec. základná škola";"P. Mudroòa 46";"Martin";"03601";;;;;;;;;;;;;
"1841";"ilinskı";"Martin";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Špec. základná škola";"P. Mudroòa 46";"Martin";"03601";;;;;;;;;;;;;
"1842";"ilinskı";"Martin";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"P. Mudroòa 6";"Martin";"03601";;;;;;;;;;;;;
"1843";"ilinskı";"Martin";"Samosprávny kraj";"SOŠ obchodu a sluieb";"Slovenskı";"Stredná odborná škola";"SOŠ obchodu a sluieb";"Stavbárska 11";"Martin";"03601";"2,25438003540039";"2,90806255340576";;"0,719424486160278";"3,26627159118652";"2,51669921875";"2,3741491317749";"1,70748023986816";;;"4,71590423583984";"2,85915794372559";"5,1751350402832"
"1844";"ilinskı";"Martin";"Krajskı úrad, Okresnı úrad";"Odborné uèilište";"Slovenskı";"Špeciálna stredná škola";"Odborné uèilište";"Stavbárska 11";"Martin";"03680";;;;;;;"1,10032358169556";"2,96296291351318";;;;"8,38379364013672";"3,79772834777832"
"1845";"ilinskı";"Martin";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"ZŠ s MŠ A. Bernoláka";"Tomášikova 1";"Martin";"03601";"7,98170166015625";;"9,90077896118164";"9,98989028930664";"9,81166763305664";;"1,2883448600769";;"8,02084274291992";;;"2,39297733306885";"8,35627746582031"
"1846";"ilinskı";"Martin";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"Ul. Aurela Stodolu 60";"Martin";"03601";;;;;;;;;;;;;
"1847";"ilinskı";"Martin";"Súkromník";"Konzervatórium";"Slovenskı";"Konzervatórium";"Súkr.hud.a dram.konzerv";"Ul. J. Lettricha è. 3";"Martin";"03601";;;;;;;;;;;;;
"1848";"ilinskı";"Martin";"Súkromník";"SOŠ umeleckoremeselná";"Slovenskı";"Stredná odborná škola";"Súkr.stredná umel.škola";"ul. J.Lettricha è.3";"Martin";"03601";;"7,47203063964844";;"0";"8,45653686523437";"6,45236282348633";"0";;;;;;
"1849";"ilinskı";"Martin";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"Ul. Maše Ha¾amovej 21";"Martin";"03601";;;;;;;;;;;;;
"1850";"ilinskı";"Martin";"Súkromník";"Základná škola";"Slovenskı";"Základná škola";"Súkromná základná škola Tomáša Zanovita";"Vıchodná 18";"Martin";"03601";"6,1720100402832";;"8,05164642333984";"8,30458984375";"7,79870223999023";;"0";;"9,15448608398438";;;"4,80682258605957";"6,12907485961914"
"1851";"ilinskı";"Martin";"Súkromník";"Základná škola";"Slovenskı";"Základná škola";"Súkromná základná škola BellAmos";"Vıchodná 18";"Martin";"03601";"7,35670852661133";;"9,1178466796875";"9,76455535888672";"8,47113723754883";;"0";;"7,37880859375";;;"7,31050033569336";"4,42024993896484"
"1852";"ilinskı";"Martin";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Priehradná 11";"Martin";"03601";"6,14428977966309";;"7,6771858215332";"8,38307495117187";"6,97129669189453";;"0";;"7,74807052612305";;;"2,73256607055664";"8,15492553710937"
"1853";"ilinskı";"Martin";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"V.J.Dolinského 2";"Martin";"03601";"5,6677921295166";;"6,70132446289062";"6,15544815063477";"7,24720001220703";;"0";;;;;"1,91281299591064";"8,19102325439453"
"1854";"ilinskı";"Martin";"Samosprávny kraj";"SOŠ dopravná";"Slovenskı";"Stredná odborná škola";"SOŠ dopravná";"Zelená 2";"Martin";"03608";"2,38995838165283";"2,90406341552734";;"3,31787490844727";"3,62261352539063";"2,07682399749756";"0,772830009460449";"2,30209999084473";;;"5,15708999633789";"2,69432983398438";"4,86621017456055"
"1855";"ilinskı";"Martin";"Súkromník";;"Slovenskı";"Špeciálna základná škola";"Súkr. základna škola";"Ul. Š. Furdeka";"Martin";"03601";;;;;;;;;;;;;
"1857";"ilinskı";"Martin";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Necpaly 164";"Necpaly";"03812";;;;;;;"0";;"8,96667785644531";;;"8,91364288330078";
"1859";"ilinskı";"Martin";"Súkromník";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Súkromná špeciálna ZŠ";"Sklabiòa";"Sklabiòa";"03803";;;;;;;;;;;;;
"1860";"ilinskı";"Martin";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Sklabiòa 138";"Sklabiòa";"03803";;;;;;;"0";;;;;"9,34142608642578";
"1861";"ilinskı";"Martin";"Krajskı úrad, Okresnı úrad";"Gymnázium";"Slovenskı a Anglickı bil.";"Gymnázium";"Bilingválne gymnázium";"Komenského 215";"Suèany";"03852";"8,78446884155273";"9,9359260559082";;"9,13554840087891";"10";"10";"3,94010124206543";"8,92759323120117";;;"1,3440637588501";"2,68395118713379";"6,99261627197266"
"1863";"ilinskı";"Martin";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Partizánska 13";"Suèany";"03852";"5,28925323486328";;"6,43860244750977";"6,74359359741211";"6,13361129760742";;"0";;"8,78749847412109";;;"4,37732963562012";"7,30275039672852"
"1864";"ilinskı";"Martin";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Komenského 10";"Turany";"03853";"6,13329277038574";;"7,49501724243164";"7,4336067199707";"7,55642776489258";;"0,546848678588867";;"8,27658767700195";;;"3,31675224304199";"6,56238479614258"
"1865";"ilinskı";"Martin";"Samosprávny kraj";"SOŠ drevárska";"Slovenskı";"Stredná odborná škola";"Spojená škola-SOŠ drev.";"Komenského 23";"Turany";"03853";;"4,56758422851563";;"0";"5,41984672546387";"3,64227104187012";"2,5";;;;;"4,37957229614258";
"1866";"ilinskı";"Martin";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Ul. èsl.armády 18";"Turèianska Štiavnièka";"03851";;;;;;;"0";;;;;"6,46025466918945";
