"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"celkove_hodnotenie";"maturity";"testovanie9";"matematika";"vyucovaci_jazyk";"cudzie_jazyky";"mimoriadne_vysledky";"nezamestnanost_absolventov";"vysledky_inspekcie";"ucasti_na_sutaziach";"prijimanie_na_VS";"pedagogicky_zbor";"financne_zdroje"
"1248";"Nitriansky";"Levice";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola int.";"Slovenskı";"Špeciálna základná škola";"Spojená škola";"Z. Nejedlého 41";"Levice";"93401";;;;;;;;;;;;;
"1249";"Nitriansky";"Levice";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola int.";"Slovenskı";"Špeciálna základná škola";"Spojená škola";"Z. Nejedlého 41";"Levice";"93401";;;;;;;;;;;;;
"1251";"Nitriansky";"Levice";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Hlavná 10";"Lok";"93538";;;;;;;"0";;;"0";;"9,48375473022461";
"1252";"Nitriansky";"Levice";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"Cirk. ZŠ sv. Pavla";"Nová Dedina 97";"Nová Dedina";"93525";"4,71304969787598";;"5,04460906982422";"5,88215751647949";"4,20706024169922";;"0";;"4,49479713439941";"1,11111116409302";;"7,93847427368164";"4,64460601806641"
"1253";"Nitriansky";"Levice";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Maïarskı";"Základná škola";"CZŠ P. Palásthyho s VJM";"Plášovce 5";"Plášovce";"93582";;;;;;;"0";;"6,12024078369141";"0";;"9,98387069702148";"5,65977439880371"
"1254";"Nitriansky";"Levice";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Plášovce 634";"Plášovce";"93582";"5,11993255615234";;"6,24920845031738";"5,56668434143066";"6,89843902587891";;"0";;"6,82533416748047";"1,11111116409302";;"6,66115341186523";"5,19972496032715"
"1255";"Nitriansky";"Levice";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Plavé Vozokany 114";"Plavé Vozokany";"93569";"2,73112754821777";;"2,78259391784668";"2,23211193084717";"3,33307609558105";;"0";;"4,80369071960449";"1,11111116409302";;"8,06212005615234";"4,78575477600098"
"1256";"Nitriansky";"Levice";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Podluany 232";"Podluany";"93527";;;;;;;"3,29411773681641";;"8,24281463623047";"0";;"9,17141571044922";
"1257";"Nitriansky";"Levice";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Hlavná 120";"Pohronskı Ruskov";"93562";"3,45097351074219";;"3,24238357543945";"2,19741325378418";"4,287353515625";;"2,46530342102051";;;"0";;"5,24975624084473";"5,42094879150391"
"1258";"Nitriansky";"Levice";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Štiavnická cesta 26";"Pukanec";"93505";"3,82960052490234";;"5,20135345458984";"5,46057014465332";"4,94213714599609";;"0";;"3,38286476135254";"1,66666660308838";;"5,38903350830078";"4,61675758361816"
"1259";"Nitriansky";"Levice";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Školská 10";"Rybník";"93523";"5,85645446777344";;"6,59356002807617";"6,87753372192383";"6,30958595275879";;"0,926870727539063";;"5,39545440673828";"0,555555582046509";;"3,96355056762695";"4,67529525756836"
"1260";"Nitriansky";"Levice";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Levická 25";"Santovka";"93587";;;;;;;"0";;;"0";;"8,66714553833008";
"1261";"Nitriansky";"Levice";"Obec";"ZŠ-roè.I. stupeò";"Maïarskı";"Základná škola";"ZŠ s VJM - Alapiskola";"Slatina 24";"Slatina";"93584";;;;;;;"0";;"7,5070068359375";"0";;;
"1262";"Nitriansky";"Levice";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Tekovská 17";"Starı Tekov";"93526";"6,62073974609375";;"8,06731262207031";"8,47940444946289";"7,65522155761719";;"0";;"6,45554504394531";"1,66666660308838";;"5,2814151763916";"3,36230888366699"
"1263";"Nitriansky";"Levice";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"E. B. Lukáèa 6";"Šahy";"93601";"3,7795711517334";;"4,22198219299316";"4,25239181518555";"4,19157257080078";;"0";;"7,41460266113281";"0,555555582046509";;"3,07361545562744";"6,72592163085938"
"1264";"Nitriansky";"Levice";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola int.";"Slovenskı - maïarskı ";"Špeciálna základná škola";"Špeciálna zákl.škola i.";"F. Rákocziho 1";"Šahy";"93601";;;;;;;;;;;;;
"1265";"Nitriansky";"Levice";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola int.";"Slovenskı - maïarskı ";"Špeciálna základná škola";"Špeciálna zákl.škola i.";"F. Rákocziho 1";"Šahy";"93601";;;;;;;;;;;;;
"1267";"Nitriansky";"Levice";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium";"Mládenícka 22";"Šahy";"93601";"5,79375953674316";"6,18784217834473";;"2,31930885314941";"6,36302604675293";"7,66089706420898";"0";"8,32421646118164";;"10";"9,96686935424805";"6,49386444091797";"5,18194961547852"
"1268";"Nitriansky";"Levice";"Samosprávny kraj";"Gymnázium";"Maïarskı";"Gymnázium";"Gymnázium s VJM";"Mládenícka 22";"Šahy";"93601";"4,21218757629395";"4,72984657287598";;"7,08244552612305";"3,39795608520508";"5,22626838684082";"3,90338172912598";"3,15508995056152";;"5";"8,53255920410156";"1,95304737091064";"6,75211410522461"
"1269";"Nitriansky";"Levice";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola J. Krá¾a";"Mládenícka 24";"Šahy";"93601";"3,8833122253418";;"4,45239791870117";"4,04320983886719";"4,86158638000488";;"0";;"8,16862716674805";"1,66666660308838";;"2,89131603240967";"6,95171127319336"
"1270";"Nitriansky";"Levice";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Nám. B. Bartóka 1";"Šahy";"93601";;;;;;;;;;;;;
"1271";"Nitriansky";"Levice";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Maïarskı";"Základná škola";"KSŠ - Cirkevná ZŠ";"Slov.národ.povstania 4";"Šahy";"93601";;;;;;;"3,07872543334961";;"1,50383415222168";"0";;"5,11716346740723";
"1272";"Nitriansky";"Levice";"Cirkev, cirkevné spoloèenstvo";"Gymnázium";"Maïarskı";"Gymnázium";"KSŠ - Gymnázium";"Slov.národ.povstania 4";"Šahy";"93601";"3,44328155517578";"4,32922477722168";;"7,04511642456055";"2,01837882995605";"6,52333450317383";"0,966374969482422";"2,80316104888916";;"0";;"4,81534957885742";"0,0827411949634552"
"1273";"Nitriansky";"Levice";"Samosprávny kraj";"Stredná odborná škola";"Slovenskı - maïarskı ";"Stredná odborná škola";"Stredná odborná škola";"Slov.národ.povstania 41";"Šahy";"93601";"3,89769668579102";"4,5551944732666";;"1,82741088867187";"3,42233467102051";"5,74740982055664";"6,68377380371094";"2,8144832611084";;"0";;"2,97841777801514";"4,58861808776855"
"1274";"Nitriansky";"Levice";"Obec";"Základná škola";"Maïarskı";"Základná škola";"ZŠ s VJM - Alapiskola";"Mládenícka 24";"Šahy";"93601";;;;;;;"0,371876764297485";;"4,74660301208496";"0";;"4,53136558532715";"6,58016662597656"
"1275";"Nitriansky";"Levice";"Obec";"ZŠ-roè.I. stupeò";"Maïarskı";"Základná škola";"ZŠ s VJM - Alapiskola";"Šalov 58";"Šalov";"93571";;;;;;;"0";;;"0";;;
"1276";"Nitriansky";"Levice";"Obec";"Základná škola";"Slovenskı - maïarskı ";"Základná škola";"Základná škola s MŠ";"Šarovce 426";"Šarovce";"93552";"0,921663093566895";;"0,857618141174316";"0,968028354644775";"0,747207832336426";;"0";;"4,13119049072266";"0,555555582046509";;"7,88002395629883";"5,42227439880371"
"1278";"Nitriansky";"Levice";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Komenského 37";"Tekovské Luany";"93541";"3,95391044616699";;"4,56416969299316";"4,3332160949707";"4,79512329101563";;"0,757894611358643";;"7,92290420532227";"0,555555582046509";;"4,36540489196777";"6,22233505249023"
"1279";"Nitriansky";"Levice";"Obec";"Základná škola";"Maïarskı";"Základná škola";"ZŠ s VJM - Alapiskola";"Komenského 37";"Tekovské Luany";"93541";;;;;;;"0";;"6,50161209106445";"0";;"9,06321868896484";"5,05081748962402"
"1280";"Nitriansky";"Levice";"Samosprávny kraj";"SOŠ technická";"Slovenskı";"Stredná odborná škola";"SOŠ technická";"Kozmálovská cesta 9";"Tlmaèe";"93528";"6,86701507568359";"6,43993606567383";;"0";"5,74350433349609";"7,57506484985352";"4,09603385925293";"7,76287384033203";;"0";;"1,77622051239014";"5,1985954284668"
"1281";"Nitriansky";"Levice";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Stará 31";"Tlmaèe";"93521";;;;;;;;;;;;;
"1282";"Nitriansky";"Levice";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Školská 9";"Tlmaèe";"93521";"7,46727523803711";;"7,35726623535156";"7,57671890258789";"7,13781280517578";;"6,81352920532227";;"7,10785064697266";"1,66666660308838";;"4,6871696472168";"6,43504943847656"
"1283";"Nitriansky";"Levice";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Ve¾ké Kozmálovce 56";"Ve¾ké Kozmálovce";"93521";;;;;;;"0";;;"0,555555582046509";;"9,35224609375";
"1284";"Nitriansky";"Levice";"Obec";"Základná škola";"Slovenskı - maïarskı ";"Základná škola";"Základná škola s MŠ";"Ve¾ké Ludince 390";"Ve¾ké Ludince";"93565";;;;;;;"0";;"7,8399787902832";"0";;"8,98227157592773";"4,62906227111816"
"1285";"Nitriansky";"Levice";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Mochovská 4";"Ve¾kı Ïur";"93534";"5,88541374206543";;"7,37266082763672";"6,77344512939453";"7,97187576293945";;"0";;;"10";;"5,03801803588867";"3,85570793151855"
"1286";"Nitriansky";"Levice";"Obec";"ZŠ-roè.I. stupeò";"Maïarskı";"Základná škola";"ZŠ s VJM - Alapiskola";"Vyškovce nad Ip¾om 34";"Vyškovce nad Ip¾om";"93577";;;;;;;"0";;"5,03019142150879";"0";;"8,80303802490234";
"1287";"Nitriansky";"Levice";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Zbrojníky 177";"Zbrojníky";"93555";"2,25959815979004";;"1,76172351837158";"0,729348659515381";"2,79409828186035";;"0";;;"0";;"8,12133712768555";"4,8130744934082"
"1288";"Nitriansky";"Levice";"Obec";"Základná škola";"Maïarskı";"Základná škola";"ZŠ s VJM - Alapiskola";"Komenského 1";"eliezovce";"93701";;;;;;;"0";;"4,07178955078125";"0,555555582046509";;"4,73649673461914";"7,29188613891602"
"1289";"Nitriansky";"Levice";"Samosprávny kraj";"Gymnázium";"Maïarskı";"Gymnázium";"Gymnázium J.A.Kom.s VJM";"Štúrova 16";"eliezovce";"93701";"3,98883285522461";"4,31266975402832";;"4,64021644592285";"2,15445156097412";"6,40424575805664";"2,56172790527344";"4,06788711547852";;"0";"6,65206527709961";"4,00743217468262";"6,26404609680176"
"1291";"Nitriansky";"Levice";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Mierová 67";"eliezovce";"93701";"6,54992446899414";;"7,86689758300781";"7,64218902587891";"8,09056091308594";;"0,932969570159912";;"6,04270248413086";"8,33333358764648";;"2,90550861358643";"7,22306518554687"
"1292";"Nitriansky";"Levice";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Štúrova 15";"eliezovce";"93701";;;;;;;;;;;;;
"1293";"Nitriansky";"Levice";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium";"Štúrova 16";"eliezovce";"93701";"3,16238842010498";"3,82580337524414";;"7,29840545654297";"3,15624237060547";"4,27516632080078";"2,06724700927734";"2,22727737426758";;"0";"6,90220489501953";"3,20620460510254";"7,17825241088867"
"1294";"Nitriansky";"Levice";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı - maïarskı ";"Špeciálna základná škola";"ŠZŠ - Spec. Alapiskola";"Úzka 4";"eliezovce";"93701";;;;;;;;;;;;;
"1295";"Nitriansky";"Levice";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Oslobodite¾ov 30";"emberovce";"93502";"6,3697380065918";;"7,7841438293457";"7,85661697387695";"7,71328125";;"0";;"5,86139450073242";"2,22222232818604";;"8,49293212890625";"4,87546615600586"
"1296";"Nitriansky";"Nitra";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Alekšince 395";"Alekšince";"95122";"4,77750930786133";;"5,87103042602539";"5,81581611633301";"5,9262451171875";;"0";;"6,98691253662109";"1,11111116409302";;"3,42607231140137";"5,56815948486328"
"1297";"Nitriansky";"Nitra";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Báb 225";"Báb";"95134";"5,2695930480957";;"6,74386215209961";"6,41627731323242";"7,0714469909668";;"0";;;"0";;"6,53906784057617";"4,47345542907715"
"1298";"Nitriansky";"Nitra";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Nitrianska 98";"Branè";"95113";"4,43959884643555";;"4,9506591796875";"4,66657943725586";"5,23473930358887";;"0";;;"0,555555582046509";;"5,13726234436035";"5,89297523498535"
"1299";"Nitriansky";"Nitra";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"èas Cabaj 197";"Cabaj - Èápor";"95117";"5,43678703308106";;"6,43244476318359";"5,95609970092773";"6,90878982543945";;"0,780763530731201";;;"1,11111116409302";;"3,18017349243164";"7,30049438476563"
"1300";"Nitriansky";"Nitra";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"èas Èápor 1085";"Cabaj - Èápor";"95117";"4,34376449584961";;"5,79618453979492";"5,37717132568359";"6,21519737243652";;"0";;"5,13365135192871";"1,66666660308838";;"6,47093276977539";"5,32122344970703"
"1301";"Nitriansky";"Nitra";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Nová 201";"Èakajovce";"95143";"4,85060043334961";;"4,95975799560547";"5,324072265625";"4,59544334411621";;"0";;"5,93351554870605";"0";;"9,39723281860352";"4,40371398925781"
"1302";"Nitriansky";"Nitra";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı - maïarskı ";"Základná škola";"ZŠ - Alapiskola";"Nitrianska 1";"Èechynce";"95107";;;;;;;"0";;"8,04749755859375";"0";;"6,95986022949219";
"1303";"Nitriansky";"Nitra";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Èe¾adice 87";"Èe¾adice";"95103";"3,52061576843262";;"3,74687805175781";"3,83814888000488";"3,65560722351074";;"0";;"5,90725898742676";"1,66666660308838";;"4,64060935974121";"4,06057929992676"
"1304";"Nitriansky";"Nitra";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Èifáre 137";"Èifáre";"95161";;;;;;;"0";;;"0";;"8,45335693359375";
"1305";"Nitriansky";"Nitra";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı - maïarskı ";"Základná škola";"ZŠ - Alapiskola";"Dolné Obdokovce 183";"Dolné Obdokovce";"95102";;;;;;;"0";;;"0";;"8,65266189575195";
"1306";"Nitriansky";"Nitra";"Súkromník";"Stredná odborná škola";"Maïarskı";"Stredná odborná škola";"Súkromná SOŠ s VJM";"Dolné Obdokovce 71";"Dolné Obdokovce";"95102";"6,3250617980957";"6,39567184448242";;"9,66075286865234";"5,31317558288574";"7,28280792236328";"5,56800003051758";"6,41998596191406";;"5";;"4,97542686462402";"4,65664596557617"
